product_id,title,brand,category,price,rating,num_reviews,in_stock
1,iPhone 15 Pro Max,Apple,Electronics,1199.99,3.7,1511,True
2,Samsung Galaxy S24 Ultra,Samsung,Electronics,1299.99,3.8,1963,True
3,"MacBook Pro 16""",Apple,Electronics,2499.99,4.6,4472,True
4,Dell XPS 15,Dell,Electronics,1899.99,4.7,436,True
5,Sony WH-1000XM5 Headphones,Sony,Electronics,399.99,4.0,3605,False
6,AirPods Pro 2,Apple,Electronics,249.99,3.7,3176,False
7,iPad Air,Apple,Electronics,599.99,3.8,4462,True
8,Samsung Galaxy Tab S9,Samsung,Electronics,799.99,4.1,4410,True
9,PlayStation 5,Sony,Electronics,499.99,4.7,389,False
10,Xbox Series X,Microsoft,Electronics,499.99,4.7,2256,True
11,Nintendo Switch OLED,Nintendo,Electronics,349.99,4.4,2370,True
12,"LG OLED TV 65""",LG,Electronics,2199.99,3.5,3053,False
13,Sony Bravia 4K TV,Sony,Electronics,1299.99,3.8,3449,False
14,Canon EOS R6,Canon,Electronics,2499.99,3.8,3036,False
15,GoPro Hero 12,GoPro,Electronics,399.99,3.7,3021,False
16,Nike Air Max 270,Nike,Fashion,150.0,3.7,1770,False
17,Adidas Ultraboost,Adidas,Fashion,180.0,3.5,870,True
18,Levi's 501 Jeans,Levi's,Fashion,98.0,4.0,4496,True
19,Ray-Ban Aviator Sunglasses,Ray-Ban,Fashion,153.0,5.0,4534,True
20,Gucci Belt,Gucci,Fashion,450.0,3.6,3611,True
21,North Face Jacket,The North Face,Fashion,299.0,3.9,3277,True
22,Patagonia Fleece,Patagonia,Fashion,149.0,4.4,1637,True
23,Timberland Boots,Timberland,Fashion,198.0,3.5,4153,False
24,Vans Old Skool,Vans,Fashion,65.0,3.8,3300,True
25,Converse Chuck Taylor,Converse,Fashion,60.0,4.4,4239,False
26,Tommy Hilfiger Polo,Tommy Hilfiger,Fashion,79.0,4.0,2522,True
27,Ralph Lauren Sweater,Ralph Lauren,Fashion,145.0,3.8,1300,True
28,Carhartt Workwear,Carhartt,Fashion,89.0,4.7,2576,True
29,Columbia Hiking Pants,Columbia,Fashion,75.0,4.7,4292,True
